league,pos,team,year,round,stage
FOOTBALL CONFERENCE SOUTH,19.0,DORCHESTER TOWN,2009.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,1.0,STEVENAGE,2010.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,2.0,LUTON TOWN,2010.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,3.0,OXFORD UNITED,2010.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,4.0,RUSHDEN & DIAMONDS,2010.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,5.0,YORK CITY,2010.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,6.0,KETTERING TOWN,2010.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,8.0,AFC WIMBLEDON,2010.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,9.0,MANSFIELD TOWN,2010.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,10.0,CAMBRIDGE UNITED,2010.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,11.0,WREXHAM,2010.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,12.0,SALISBURY CITY,2010.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,15.0,BARROW,2010.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,20.0,GATESHEAD,2010.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,21.0,FOREST GREEN ROVERS,2010.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE NORTH,2.0,FLEETWOOD TOWN,2010.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE NORTH,7.0,HINCKLEY UNITED,2010.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE NORTH,8.0,ILKESTON TOWN,2010.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE NORTH,11.0,AFC TELFORD UNITED,2010.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE NORTH,12.0,NORTHWICH VICTORIA,2010.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE SOUTH,4.0,BATH CITY,2010.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE SOUTH,5.0,WOKING,2010.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE SOUTH,8.0,STAINES TOWN,2010.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE SOUTH,11.0,EASTLEIGH,2010.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE SOUTH,12.0,BROMLEY,2010.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,1.0,CRAWLEY TOWN,2011.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,2.0,AFC WIMBLEDON,2011.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,3.0,LUTON TOWN,2011.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,5.0,FLEETWOOD TOWN,2011.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,7.0,DARLINGTON,2011.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,8.0,YORK CITY,2011.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,12.0,MANSFIELD TOWN,2011.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,13.0,RUSHDEN & DIAMONDS,2011.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,14.0,GATESHEAD,2011.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,16.0,HAYES & YEADING UNITED,2011.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,17.0,CAMBRIDGE UNITED,2011.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,19.0,TAMWORTH,2011.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,20.0,FOREST GREEN ROVERS,2011.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,21.0,SOUTHPORT,2011.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE NORTH,4.0,EASTWOOD TOWN,2011.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE NORTH,5.0,GUISELEY,2011.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE NORTH,6.0,NUNEATON TOWN,2011.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE NORTH,8.0,DROYLSDEN,2011.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE NORTH,13.0,CORBY TOWN,2011.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE NORTH,17.0,VAUXHALL MOTORS,2011.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE SOUTH,3.0,EBBSFLEET UNITED,2011.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE SOUTH,4.0,CHELMSFORD CITY,2011.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE SOUTH,5.0,WOKING,2011.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE SOUTH,7.0,DOVER ATHLETIC,2011.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE SOUTH,9.0,HAVANT & WATERLOOVILLE,2011.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE SOUTH,10.0,DARTFORD,2011.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,1.0,SLOUGH TOWN,1990.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,3.0,AYLESBURY UNITED,1990.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,8.0,BASINGSTOKE TOWN,1990.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,14.0,HAYES & YEADING UNITED,1990.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE DIVISION ONE,2.0,WOKING,1990.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,3.0,AYLESBURY UNITED,1991.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,4.0,WOKING,1991.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,8.0,HAYES & YEADING UNITED,1991.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,1.0,WOKING,1992.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,2.0,ENFIELD,1992.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,3.0,SUTTON UNITED,1992.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,6.0,MARLOW,1992.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,7.0,AYLESBURY UNITED,1992.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,11.0,WINDSOR & ETON,1992.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,19.0,HAYES & YEADING UNITED,1992.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE DIVISION ONE,17.0,HARLOW TOWN,1992.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,2.0,ST ALBANS CITY,1993.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,5.0,SUTTON UNITED,1993.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,9.0,HAYES & YEADING UNITED,1993.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,10.0,AYLESBURY UNITED,1993.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,13.0,KINGSTONIAN,1993.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,15.0,MARLOW,1993.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE DIVISION ONE,3.0,DORKING,1993.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,2.0,ENFIELD,1994.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,3.0,MARLOW,1994.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,5.0,SUTTON UNITED,1994.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,6.0,CARSHALTON ATHLETIC,1994.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,17.0,YEADING,1994.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,18.0,MOLESEY,1994.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE DIVISION TWO,8.0,METROPOLITAN POLICE,1994.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,1.0,ENFIELD,1995.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,2.0,SLOUGH TOWN,1995.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,4.0,AYLESBURY UNITED,1995.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,5.0,HITCHIN TOWN,1995.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,9.0,YEADING,1995.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,13.0,KINGSTONIAN,1995.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,14.0,WALTON & HERSHAM,1995.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,20.0,CHESHAM UNITED,1995.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,21.0,MARLOW,1995.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE DIVISION ONE,2.0,WORTHING,1995.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE DIVISION ONE,16.0,HEYBRIDGE SWIFTS,1995.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,1.0,HAYES & YEADING UNITED,1996.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,2.0,ENFIELD,1996.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,8.0,KINGSTONIAN,1996.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,10.0,SUTTON UNITED,1996.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,18.0,HITCHIN TOWN,1996.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE DIVISION ONE,7.0,BOGNOR REGIS TOWN,1996.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE DIVISION TWO,1.0,CANVEY ISLAND,1996.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,2.0,ENFIELD,1997.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,4.0,DAGENHAM & REDBRIDGE,1997.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,5.0,ST ALBANS CITY,1997.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,10.0,BOREHAM WOOD,1997.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,16.0,HENDON,1997.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,18.0,BROMLEY,1997.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,2.0,BOREHAM WOOD,1998.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,4.0,DAGENHAM & REDBRIDGE,1998.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,5.0,HENDON,1998.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,6.0,HEYBRIDGE SWIFTS,1998.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,8.0,BASINGSTOKE TOWN,1998.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,17.0,CARSHALTON ATHLETIC,1998.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE DIVISION ONE,2.0,BILLERICAY TOWN,1998.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,5.0,ENFIELD,1999.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,8.0,BASINGSTOKE TOWN,1999.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,11.0,SLOUGH TOWN,1999.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,13.0,HENDON,1999.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,14.0,BOREHAM WOOD,1999.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,16.0,DULWICH HAMLET,1999.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE DIVISION THREE,1.0,FORD UNITED,1999.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE DIVISION THREE,13.0,CAMBERLEY TOWN,1999.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,2.0,ALDERSHOT TOWN,2000.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,6.0,ST ALBANS CITY,2000.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,8.0,HENDON,2000.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,14.0,ENFIELD,2000.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE DIVISION ONE,5.0,WORTHING,2000.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE DIVISION ONE,7.0,WHYTELEAFE,2000.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE DIVISION ONE,13.0,OXFORD CITY,2000.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,2.0,CANVEY ISLAND,2001.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,4.0,ALDERSHOT TOWN,2001.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,9.0,HAMPTON & RICHMOND BOROUGH,2001.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,15.0,GRAYS ATHLETIC,2001.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,19.0,HARROW BOROUGH,2001.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE DIVISION THREE,9.0,BRACKNELL TOWN,2001.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,2.0,CANVEY ISLAND,2002.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,3.0,ALDERSHOT TOWN,2002.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,6.0,GRAYS ATHLETIC,2002.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,17.0,BEDFORD TOWN,2002.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE DIVISION ONE,3.0,AYLESBURY UNITED,2002.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE DIVISION TWO,1.0,LEWES,2002.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,4.0,ST ALBANS CITY,2003.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,20.0,HEYBRIDGE SWIFTS,2003.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,22.0,BOREHAM WOOD,2003.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE DIVISION ONE NORTH,4.0,SLOUGH TOWN,2003.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,1.0,CANVEY ISLAND,2004.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,3.0,THURROCK,2004.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,5.0,HORNCHURCH,2004.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,6.0,GRAYS ATHLETIC,2004.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,11.0,BISHOP'S STORTFORD,2004.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,13.0,FORD UNITED,2004.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE DIVISION ONE NORTH,9.0,BOREHAM WOOD,2004.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,1.0,YEADING,2005.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,2.0,BILLERICAY TOWN,2005.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,13.0,SLOUGH TOWN,2005.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,1.0,BRAINTREE TOWN,2006.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,13.0,FOLKESTONE INVICTA,2006.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE DIVISION ONE,1.0,RAMSGATE,2006.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,2.0,BROMLEY,2007.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,3.0,CHELMSFORD CITY,2007.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE DIVISION ONE SOUTH,11.0,LEATHERHEAD,2007.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,2.0,STAINES TOWN,2008.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,10.0,BILLERICAY TOWN,2008.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,11.0,HORSHAM,2008.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE DIVISION ONE NORTH,4.0,WARE,2008.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,5.0,SUTTON UNITED,2009.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,6.0,AFC HORNCHURCH,2009.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,20.0,HARLOW TOWN,2009.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,2.0,SUTTON UNITED,2010.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,6.0,WEALDSTONE,2010.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,12.0,TOOTING & MITCHAM UNITED,2010.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE DIVISION ONE NORTH,1.0,LOWESTOFT TOWN,2010.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,5.0,HARROW BOROUGH,2011.0,FIRST ROUND PROPER,8.0
ISTHMIAN LEAGUE PREMIER DIVISION,15.0,HENDON,2011.0,FIRST ROUND PROPER,8.0
EASTERN COUNTIES PREMIER DIVISION,1.0,AFC SUDBURY,2001.0,FIRST ROUND PROPER,8.0
NORTHERN LEAGUE DIVISION ONE,1.0,BEDLINGTON TERRIERS,1999.0,FIRST ROUND PROPER,8.0
NORTHERN LEAGUE DIVISION ONE,1.0,BILLINGHAM SYNTHONIA,1990.0,FIRST ROUND PROPER,8.0
NORTHERN LEAGUE DIVISION ONE,4.0,BLYTH SPARTANS,1993.0,FIRST ROUND PROPER,8.0
NORTHERN COUNTIES EAST PREMIER ,2.0,BRIGG TOWN,2002.0,FIRST ROUND PROPER,8.0
MIDLAND ALLIANCE,1.0,CHASETOWN,2006.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE,8.0,CHESTER,2001.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE,4.0,CHESTER,2003.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE,1.0,CHESTER,2004.0,FIRST ROUND PROPER,8.0
MIDLAND ALLIANCE,3.0,COALVILLE TOWN,2005.0,FIRST ROUND PROPER,8.0
NORTHERN LEAGUE DIVISION ONE,11.0,CONSETT,1997.0,FIRST ROUND PROPER,8.0
SOUTHERN LEAGUE SOUTHERN DIVISION,1.0,EBBSFLEET UNITED,1994.0,FIRST ROUND PROPER,8.0
SOUTHERN PREMIER DIVISION,11.0,EBBSFLEET UNITED,1996.0,FIRST ROUND PROPER,8.0
ISTHMIAN PREMIER DIVISION,6.0,EBBSFLEET UNITED,2001.0,FIRST ROUND PROPER,8.0
ISTHMIAN PREMIER DIVISION,1.0,EBBSFLEET UNITED,2002.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE,11.0,EBBSFLEET UNITED,2004.0,FIRST ROUND PROPER,8.0
NORTHERN LEAGUE DIVISION ONE,1.0,GRETNA,1992.0,FIRST ROUND PROPER,8.0
NORTHERN COUNTIES EAST PREMIER ,10.0,HARROGATE RAILWAY ATHLETIC,2003.0,FIRST ROUND PROPER,8.0
KENT PREMIER DIVISION,1.0,HYTHE TOWN,2011.0,FIRST ROUND PROPER,8.0
MIDLAND ALLIANCE,5.0,LEAMINGTON,2006.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE PREMIER DIVISION,8.0,LEIGH GENESIS,1999.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE,5.0,LEIGH GENESIS,2001.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE NATIONAL,22.0,LEIGH GENESIS,2005.0,FIRST ROUND PROPER,8.0
EASTERN COUNTIES PREMIER DIVISION,7.0,LEISTON,2009.0,FIRST ROUND PROPER,8.0
CENTRAL MIDLANDS LEAGUE SUPREME DIVISION,1.0,LINCOLN UNITED,1992.0,FIRST ROUND PROPER,8.0
SUSSEX COUNTIES LEAUGE DIVISION ONE ,1.0,LITTLEHAMPTON TOWN,1991.0,FIRST ROUND PROPER,8.0
,,MAIDSTONE UNITED,1993.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE,9.0,MERTHYR TOWN,1990.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE,9.0,MERTHYR TOWN,1991.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE,16.0,MERTHYR TOWN,1993.0,FIRST ROUND PROPER,8.0
SOUTHERN PREMIER DIVISION,9.0,MERTHYR TOWN,1997.0,FIRST ROUND PROPER,8.0
SOUTHERN PREMIER DIVISION,17.0,MERTHYR TOWN,2000.0,FIRST ROUND PROPER,8.0
SOUTHERN PREMIER DIVISION,9.0,MERTHYR TOWN,2006.0,FIRST ROUND PROPER,8.0
NORTH WEST COUNTIES LEAGUE DIVISION ONE,2.0,NEWCASTLE TOWN,1997.0,FIRST ROUND PROPER,8.0
SOUTHERN MIDLAND DIVISION,1.0,NUNEATON TOWN,1993.0,FIRST ROUND PROPER,8.0
SOUTHERN PREMIER DIVISION,22.0,NUNEATON TOWN,1994.0,FIRST ROUND PROPER,8.0
SOUTHERN MIDLAND DIVISION,1.0,NUNEATON TOWN,1996.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE,13.0,NUNEATON TOWN,2001.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE NORTHERN,3.0,NUNEATON TOWN,2006.0,FIRST ROUND PROPER,8.0
NORTHERN LEAGUE DIVISION ONE,14.0,SHILDON,2004.0,FIRST ROUND PROPER,8.0
SOUTHERN PREMIER DIVISION,12.0,SOLIHULL MOORS,2003.0,FIRST ROUND PROPER,8.0
NORTHERN COUNTIES EAST PREMIER ,3.0,SPENNYMOOR UNITED,1991.0,FIRST ROUND PROPER,8.0
WESTERN LEAGUE DIVISION ONE,18.0,TEAM BATH,2003.0,FIRST ROUND PROPER,8.0
MIDLAND ALLIANCE,2.0,TIPTON TOWN,2011.0,FIRST ROUND PROPER,8.0
WESTERN LEAGUE PREMIER DIVISION,4.0,TIVERTON TOWN,1991.0,FIRST ROUND PROPER,8.0
WESTERN LEAGUE PREMIER DIVISION,3.0,TIVERTON TOWN,1992.0,FIRST ROUND PROPER,8.0
WESTERN LEAGUE PREMIER DIVISION,1.0,TIVERTON TOWN,1995.0,FIRST ROUND PROPER,8.0
WESTERN LEAGUE PREMIER DIVISION,1.0,TIVERTON TOWN,1998.0,FIRST ROUND PROPER,8.0
NORTHERN DIVISION ONE,3.0,TOW LAW TOWN,1990.0,FIRST ROUND PROPER,8.0
NORTHERN DIVISION ONE,4.0,WEST AUCKLAND TOWN,1999.0,FIRST ROUND PROPER,8.0
NORTHERN DIVISION ONE,1.0,WHITBY TOWN,1997.0,FIRST ROUND PROPER,8.0
EASTERN COUNTIES PREMIER DIVISION,11.0,WISBECH TOWN,1996.0,FIRST ROUND PROPER,8.0
EASTERN COUNTIES PREMIER DIVISION,2.0,WISBECH TOWN,1997.0,FIRST ROUND PROPER,8.0
