year,league,pos,round,stage,team,tier
2006.0,MIDLAND ALLIANCE,1.0,FIRST ROUND PROPER,8.0,CHASETOWN,
2006.0,SOUTHERN FOOTBALL LEAGUE WEST DIVISION,14.0,FIRST ROUND PROPER,8.0,BURNHAM,
2006.0,SOUTHERN PREMIER DIVISION,9.0,FIRST ROUND PROPER,8.0,MERTHYR TOWN,
2007.0,FOOTBALL CONFERENCE NORTH,2.0,FIRST ROUND PROPER,8.0,KETTERING TOWN,
2007.0,FOOTBALL CONFERENCE SOUTH,2.0,FIRST ROUND PROPER,8.0,SALISBURY CITY,
2007.0,ISTHMIAN LEAGUE DIVISION ONE SOUTH,11.0,FIRST ROUND PROPER,8.0,LEATHERHEAD,
2008.0,FOOTBALL CONFERENCE NORTH,5.0,FIRST ROUND PROPER,8.0,BARROW,
2008.0,FOOTBALL CONFERENCE SOUTH,1.0,FIRST ROUND PROPER,8.0,LEWES,
2008.0,ISTHMIAN LEAGUE DIVISION ONE NORTH,4.0,FIRST ROUND PROPER,8.0,WARE,
2008.0,NORTHERN PREMIER LEAGUE DIVISION ONE NORTH,12.0,FIRST ROUND PROPER,8.0,HARROGATE RAILWAY ATHLETIC_,
2008.0,SOUTHERN FOOTBALL LEAGUE DIVISION ONE MIDLANDS,7.0,FIRST ROUND PROPER,8.0,CHASETOWN,
2009.0,EASTERN COUNTIES PREMIER DIVISION,7.0,FIRST ROUND PROPER,8.0,LEISTON,
2009.0,FOOTBALL CONFERENCE NORTH,3.0,FIRST ROUND PROPER,8.0,ALFRETON TOWN,
2009.0,FOOTBALL CONFERENCE SOUTH,1.0,FIRST ROUND PROPER,8.0,AFC WIMBLEDON,
2009.0,NORTHERN PREMIER LEAGUE DIVISION ONE NORTH,5.0,FIRST ROUND PROPER,8.0,CURZON ASHTON,
2009.0,SOUTHERN FOOTBALL LEAGUE DIVISION ONE MIDLANDS,7.0,FIRST ROUND PROPER,8.0,BURY TOWN,
2010.0,FOOTBALL CONFERENCE NORTH,2.0,FIRST ROUND PROPER,8.0,FLEETWOOD TOWN,
2010.0,FOOTBALL CONFERENCE SOUTH,4.0,FIRST ROUND PROPER,8.0,BATH CITY,
2010.0,ISTHMIAN LEAGUE DIVISION ONE NORTH,1.0,FIRST ROUND PROPER,8.0,LOWESTOFT TOWN,
2010.0,SOUTHERN FOOTBALL LEAGUE DIVISION ONE SOUTH & WEST,7.0,FIRST ROUND PROPER,8.0,PAULTON ROVERS,
2011.0,FOOTBALL CONFERENCE NORTH,4.0,FIRST ROUND PROPER,8.0,EASTWOOD TOWN,
2011.0,FOOTBALL CONFERENCE SOUTH,3.0,FIRST ROUND PROPER,8.0,EBBSFLEET UNITED,
2011.0,KENT PREMIER DIVISION,1.0,FIRST ROUND PROPER,8.0,HYTHE TOWN,
2011.0,MIDLAND ALLIANCE,2.0,FIRST ROUND PROPER,8.0,TIPTON TOWN,
